,,,Unnamed: 0,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,OrdenPres,OrdenPres,sujnum,sujnum,FFD,FFD,SFD,SFD,FPRT,FPRT,TFT,TFT,RRT,RRT,transicion,transicion,dur_totCCV,dur_totCCV,dur_CCV_sin_inico,dur_CCV_sin_inico,tiempo_onset_vocal_l,tiempo_onset_vocal_l,tiempo_onset_vocal_r,tiempo_onset_vocal_r,OrdenDeCCV,OrdenDeCCV,repeticion_ccv,repeticion_ccv,Frecuencia,Frecuencia,SegConsVoceada,SegConsVoceada,NormTransition,NormTransition,block,CCV,type
,,,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,,,
CCV,bloque,TipoNumCCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCA,1,5,4610.222222222223,331.5071744894198,7727.722222222223,536.1347144252311,1.6111111111111112,0.05785537103478465,14.944444444444445,0.9877752164749012,301.30555555555554,19.12956849491383,10.222222222222221,6.008575712269199,895.5833333333334,35.2245410232318,914.3888888888889,35.906719021300596,18.805555555555557,8.055525200957327,0.19736816884081929,0.00985447458350202,0.5031091604594354,0.01963324494581739,0.4208042593502531,0.015198505132688228,0.906017263929013,0.03802548328388324,0.882305725467974,0.03794715034098988,3.138888888888889,0.10888817028921968,2.0277777777777777,0.09684422381492572,12.490000000000007,0.0,0,0.0,0.3911691989227417,0.010760318132974522,1,BCA,5
BCA,2,5,4928.342857142857,338.9782759828238,8253.2,545.3333372311398,2.4571428571428573,0.10707036885349809,15.571428571428571,1.0089806734563647,354.4142857142857,18.892191611207878,118.25714285714285,23.190271445948284,592.3571428571429,31.139790577837676,621.5142857142857,32.77916410659014,29.15714285714286,17.374282364068186,,,,,,,,,,,3.857142857142857,0.11915109374689983,2.0142857142857142,0.09863007227241893,12.490000000000007,0.0,0,0.0,,,2,BCA,5
BDA,1,5,4797.125,339.79191249059187,8022.125,548.1106519232778,1.6111111111111112,0.057855371034784636,15.444444444444445,1.008354942710458,339.5833333333333,20.798926987942558,44.638888888888886,14.313329549741848,749.3611111111111,35.17753044907948,785.9166666666666,38.42837142069578,36.55555555555556,17.793403246591403,0.16138937947931078,0.007129327568616705,0.4595049390281077,0.015664276726364394,0.369664509568315,0.013765870696232849,0.8052177110978463,0.03508395893612435,0.7546806740606317,0.04380885243848746,2.875,0.12021352286582491,2.0833333333333335,0.09434312893947693,23.660000000000025,0.0,1,0.0,0.3537657987388939,0.012151262133307028,1,BDA,5
BDA,2,5,5072.756756756757,345.610243638003,8519.513513513513,554.4674168454771,2.4594594594594597,0.10395579969016741,16.22972972972973,1.0291111280710987,312.8378378378378,17.11488530953304,84.78378378378379,18.162582526296625,620.7027027027027,31.142277375093606,634.972972972973,32.691788639014284,14.27027027027027,9.837259585676199,,,,,,,,,,,3.27027027027027,0.14178386607349797,2.027027027027027,0.0942103583621372,23.660000000000025,0.0,1,0.0,,,2,BDA,5
BFA,1,2,4901.695652173913,426.21586564226317,8219.95652173913,682.8424316278403,1.6304347826086956,0.07195473383945745,15.891304347826088,1.2634697493820124,310.2608695652174,24.409181664865667,21.782608695652176,15.297497918093839,956.695652173913,47.49282040391036,963.6086956521739,47.53436060297022,6.913043478260869,6.913043478260869,0.10034836763296168,0.011761872663233868,0.568790692255643,0.030964519382860343,0.4636052326837172,0.024022757147501524,0.9394792808184587,0.046969976572996966,0.8197869731260696,0.046193669956258086,2.652173913043478,0.24908992091181245,1.5217391304347827,0.08069223714246408,0.12000000000000009,0.0,0,0.0,0.16992499172144285,0.01318886408734868,1,BFA,2
BFA,2,2,5154.877551020408,426.8371623031485,8622.632653061224,685.3264464290475,2.4693877551020407,0.12744893874282445,16.346938775510203,1.2672453320646297,297.9795918367347,19.34109090629349,107.79591836734694,26.397648891517996,567.5918367346939,42.8907598151776,586.4897959183673,45.0052824039505,18.897959183673468,13.469644787281638,,,,,,,,,,,2.7346938775510203,0.23287523703450944,1.5510204081632653,0.07748833843465659,0.12000000000000009,0.0,0,0.0,,,2,BFA,2
BGA,1,5,4969.835820895522,352.29803667807346,8317.298507462687,567.6520089484362,1.626865671641791,0.05953164441921386,16.059701492537314,1.0481144572181207,408.8059701492537,21.24377939978618,8.283582089552239,8.283582089552239,983.7910447761194,33.13398466130658,990.9402985074627,33.13110669650016,7.149253731343284,4.1144445410291475,0.17447476360740222,0.008278696526572801,0.4554050217778777,0.017493008169906062,0.3732890748894503,0.013832573106947835,0.8628224680208006,0.03396247647967696,0.8545666540674625,0.036160416531176964,4.7164179104477615,0.09464631046051031,2.029850746268657,0.10192659993662616,1.1099999999999997,0.0,1,0.0,0.3844913566350061,0.011731760171856988,1,BGA,5
BGA,2,5,5325.638888888889,342.5679851568776,8893.138888888889,547.456292088316,2.388888888888889,0.1093363741195784,16.819444444444443,1.0146282167316962,321.7916666666667,20.294197092805316,117.91666666666667,23.336072525334433,626.4027777777778,39.70716685999919,658.3333333333334,41.30824242229123,31.930555555555557,17.873866077923736,,,,,,,,,,,3.0555555555555554,0.1006413099786225,1.9444444444444444,0.10064130997862249,1.1099999999999997,0.0,1,0.0,,,2,BGA,5
