,Unnamed: 0,CCV,bloque,OrdenPres,sujnum,TipoNumCCV,FFD,FPRT,TFT,transicion,dur_totCCV,dur_CCV_sin_inico,tiempo_onset_vocal_l,tiempo_onset_vocal_r,OrdenDeCCV,repeticion_ccv,Frecuencia,SegConsVoceada,RPD,RBRC,RBRT,SFD,RRT,NormTransition,TotalRepetition
2,2,BTA,1,1,1,5,81,1258,1258,0.253123530703978,0.592144577242519,0.412125315333914,0.763705668801275,0.76870566880127,3,1,10150.0,0,1258,0,1258,0,0,0.4274691358024689,1
25,25,BCA,1,1,1,5,145,1362,1362,0.277669638523326,0.611934362605547,0.4854797183098921,1.01607498746967,1.27407498746971,2,1,12.49,0,1362,0,1362,0,0,0.4537572254335256,1
28,28,BGA,1,1,1,5,611,1059,1059,0.25589844405058804,0.5463134224149749,0.449310058739985,0.911606793519034,0.9066067935190392,5,1,1.11,1,1059,0,1059,0,0,0.4684095860566461,1
33,33,BTA,1,1,1,5,227,1216,1216,0.28292368144720004,0.514598160051606,0.4675612204561661,0.993412539008045,0.9944125390080212,4,2,10150.0,0,1216,0,1216,0,0,0.5497953615279684,2
37,37,DBA,1,1,1,5,80,1063,1063,0.30046521578767,0.540713229237728,0.468700904792749,0.88018254701214,0.87018254701215,2,1,0.05,1,1063,0,1063,0,0,0.5556831228473024,1
38,38,DPA,1,1,1,5,192,1233,1233,0.31490462143673403,0.573391230257748,0.486461435309033,0.966758072857472,0.969758072857514,3,1,3.51,0,1233,0,1233,0,0,0.5491967871485925,1
55,55,DTA,1,1,1,5,708,1538,1538,0.28318958216206297,0.5366775734256339,0.463738038235101,1.3857986506915805,1.39579865069169,2,1,1.44,0,1538,0,1538,0,0,0.527671727280223,1
57,57,DCA,1,1,1,5,696,1071,1071,0.304222912398187,0.574933329780849,0.496886614034717,0.8865813479084301,0.8925813479084009,4,1,0.19,0,1071,0,1071,0,0,0.5291446792868133,1
58,58,BPA,1,1,1,5,681,1118,1118,0.31634909989338,0.561519652310749,0.487704862335627,0.974318639951842,0.9833186399517428,5,1,0.39,0,1118,0,1118,0,0,0.5633802816901414,1
64,64,DBA,1,1,1,5,730,924,924,0.224636143367065,0.459932985063415,0.358656350935213,0.7622463446941959,0.754246344694158,5,2,0.05,1,924,0,924,0,0,0.4884105960264895,2
75,75,BCA,1,1,1,5,299,1318,1318,0.22939884065524105,0.5832696979888851,0.4433672660197701,0.9943752429882958,0.9983752429883148,4,2,12.49,0,1318,0,1318,0,0,0.3932980599647275,2
80,80,DTA,1,1,1,5,652,1140,1140,0.268028324120489,0.495614504660667,0.452000428250528,0.9846656213961208,0.987665621396164,3,2,1.44,0,1140,0,1140,0,0,0.5408000000000005,2
97,97,GCA,1,1,1,5,179,1295,1295,0.350525443644839,0.6551639201216249,0.545545054109058,1.0310725335383002,1.03207253353827,2,1,0.0,0,1295,0,1295,0,0,0.5350194552529195,1
103,103,DTA,1,1,1,5,191,1009,1009,0.25808497143967496,0.54492592855508,0.432058684777841,1.00577563229637,0.9977756322964472,2,3,1.44,0,1009,0,1009,0,0,0.4736147757255934,3
104,104,GTA,1,1,1,5,467,1269,1269,0.288034833585838,0.569439709365353,0.458203750614812,1.01856653654041,1.02056653654047,3,2,47.64,0,1269,0,1269,0,0,0.5058214747736087,2
109,109,BDA,1,1,1,5,339,1271,1271,0.185090912298906,0.546901791114355,0.382273190727891,0.9480614985987148,0.9490614985986908,2,1,23.66,1,1271,0,1271,0,0,0.3384353741496601,1
110,110,BTA,1,1,1,5,194,992,992,0.305074468512769,0.537600740245062,0.494815906246321,0.8020449897578041,0.8050449897577329,3,3,10150.0,0,992,0,992,0,0,0.5674740484429069,3
112,112,DPA,1,1,1,5,186,902,902,0.26078329634981,0.465599401245553,0.404273648907584,0.7778904567640319,0.7678904567640409,5,2,3.51,0,902,0,902,0,0,0.5601023017902792,2
115,115,BDA,1,1,1,5,395,962,962,0.22480579142386894,0.500669169374514,0.3947437286697079,1.00269611606895,1.00669611606886,2,2,23.66,1,962,0,962,0,0,0.4490106544901074,2
136,136,DGA,1,1,1,5,408,919,919,0.304442978958381,0.566051067715027,0.481459065380701,0.973414638770327,0.962414638770246,5,2,0.0,1,919,0,919,0,0,0.5378365951809315,2
