,,,Unnamed: 0,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,OrdenPres,OrdenPres,sujnum,sujnum,FFD,FFD,FPRT,FPRT,TFT,TFT,transicion,transicion,dur_totCCV,dur_totCCV,dur_CCV_sin_inico,dur_CCV_sin_inico,tiempo_onset_vocal_l,tiempo_onset_vocal_l,tiempo_onset_vocal_r,tiempo_onset_vocal_r,OrdenDeCCV,OrdenDeCCV,repeticion_ccv,repeticion_ccv,Frecuencia,Frecuencia,SegConsVoceada,SegConsVoceada,RPD,RPD,RBRC,RBRC,RBRT,RBRT,SFD,SFD,RRT,RRT,NormTransition,NormTransition,TotalRepetition,TotalRepetition,block,CCV,type
,,,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,,,
CCV,bloque,TipoNumCCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCA,1,5,4445.0,313.09460927592687,4445.0,313.09460927592687,1.5945945945945945,0.05746373039227159,15.04054054054054,0.9832810433515107,306.1216216216216,19.041459401026916,913.0540540540541,36.4359474188131,936.3648648648649,38.07630141544176,0.19793998948251937,0.009989265576729222,0.5063701673987858,0.019919390407459343,0.4243083368530218,0.01567326715695484,0.9040863741387712,0.03993986126703522,0.8536632972162788,0.039394970741432125,3.1486486486486487,0.10658168972036287,2.0405405405405403,0.09512202881683467,12.490000000000007,0.0,0,0.0,913.0540540540541,36.4359474188131,0.0,0.0,913.0540540540541,36.4359474188131,9.945945945945946,5.84828843003347,23.31081081081081,8.49415430835648,0.38915527192546173,0.010188939498033853,2.972972972972973,0.18850035915828853,1,BCA,5
BCA,2,5,4716.4857142857145,320.9268001798024,4716.4857142857145,320.9268001798024,2.4571428571428573,0.10707036885349809,15.571428571428571,1.0089806734563647,354.4142857142857,18.892191611207878,592.3571428571429,31.139790577837676,621.5142857142857,32.77916410659014,,,,,,,,,,,3.857142857142857,0.11915109374689983,2.0142857142857142,0.09863007227241893,12.490000000000007,0.0,0,0.0,608.2714285714286,30.508023731122023,0.02857142857142857,0.02005611766180097,604.1142857142858,30.243891588364665,118.25714285714285,23.190271445948284,29.15714285714286,17.374282364068186,,,4.2,0.17925541881902324,2,BCA,5
BDA,1,5,4486.191176470588,317.2016667536403,4486.191176470588,317.2016667536403,1.588235294117647,0.06012605326870564,15.117647058823529,0.9941729727813534,333.3235294117647,22.147952508998575,738.9558823529412,37.79531906242521,792.5441176470588,41.092961026528634,0.16682616576479073,0.00708513237503905,0.4550219580986227,0.015357494068254379,0.36653088604349826,0.013633814289195115,0.8317169627205714,0.04500604031785866,0.7819969627204444,0.05358340736487894,2.8970588235294117,0.12420017312253144,2.1029411764705883,0.09633245104753484,23.66000000000002,0.0,1,0.0,789.0,45.12592370625122,0.029411764705882353,0.020641471370515797,770.2205882352941,38.5602833833485,47.26470588235294,15.100361031085367,53.588235294117645,26.00030589485515,0.3681644938787272,0.011274216190325129,2.985294117647059,0.19597872062330693,1,BDA,5
BDA,2,5,4854.972972972973,327.02324799466356,4854.972972972973,327.02324799466356,2.4594594594594597,0.10395579969016741,16.22972972972973,1.0291111280710987,312.8378378378378,17.11488530953304,620.7027027027027,31.142277375093606,634.972972972973,32.691788639014284,,,,,,,,,,,3.27027027027027,0.14178386607349797,2.027027027027027,0.0942103583621372,23.660000000000025,0.0,1,0.0,632.1621621621622,32.77101862907303,0.013513513513513514,0.013513513513513514,629.8783783783783,32.128467325722234,84.78378378378379,18.162582526296625,14.27027027027027,9.837259585676199,,,4.216216216216216,0.18077773306169567,2,BDA,5
BGA,1,5,4846.12676056338,325.39650224591253,4846.12676056338,325.39650224591253,1.647887323943662,0.05708756925195617,16.323943661971832,1.022045656070946,404.7464788732394,20.524399949417415,982.7887323943662,34.36626554401619,1025.112676056338,35.97499438560869,0.17264162996428012,0.008006838523190913,0.4444971847653918,0.0162575000598375,0.36520758835741957,0.013027604726541298,0.9165892918062438,0.04395068077688867,0.8778115140287033,0.040007305447642326,4.690140845070423,0.09743501016340646,1.9859154929577465,0.09927900596168349,1.1099999999999997,0.0,1,0.0,1061.4929577464789,73.70888922921169,0.014084507042253521,0.014084507042253521,1004.3521126760563,33.37427592017232,7.816901408450704,7.816901408450705,42.32394366197183,23.754078541236115,0.3883112739238847,0.01085433555285574,2.915492957746479,0.19731240370853323,1,BGA,5
BGA,2,5,5094.333333333333,324.3617592453214,5094.333333333333,324.3617592453214,2.388888888888889,0.1093363741195784,16.819444444444443,1.0146282167316962,321.7916666666667,20.294197092805316,626.4027777777778,39.70716685999919,658.3333333333334,41.30824242229123,,,,,,,,,,,3.0555555555555554,0.1006413099786225,1.9444444444444444,0.10064130997862249,1.1099999999999997,0.0,1,0.0,654.3472222222222,40.85435005619563,0.041666666666666664,0.023715020365230932,642.0416666666666,39.757827338810415,117.91666666666667,23.336072525334433,31.930555555555557,17.873866077923736,,,4.027777777777778,0.1917429142298717,2,BGA,5
BPA,1,5,4669.4,320.5528011143834,4669.4,320.5528011143834,1.6285714285714286,0.05816884316617733,15.757142857142858,1.0077208596467424,332.5285714285714,21.71594067192322,876.6,37.55506874452231,898.3142857142857,37.894806687115974,0.20260980860126704,0.0061795971651980915,0.4761829036751881,0.015941995001574272,0.4012253514135536,0.013435817745043266,0.8712370365788425,0.039090490737066136,0.811663851941661,0.03564880004012116,4.457142857142857,0.09903408093495479,2.0142857142857142,0.09863007227241895,0.39000000000000035,0.0,0,0.0,876.6,37.55506874452231,0.0,0.0,876.6,37.55506874452231,8.157142857142857,5.132635632492933,21.714285714285715,10.051814888344369,0.43324402203010093,0.011031752515628717,2.8714285714285714,0.18971639351269895,1,BPA,5
BPA,2,5,4716.779220779221,318.6300566409299,4716.779220779221,318.6300566409299,2.4285714285714284,0.10363946430143021,15.688311688311689,1.0029450379927909,347.64935064935065,17.413625982775653,632.5194805194806,38.38506741794231,652.5844155844156,39.07328476832896,,,,,,,,,,,3.038961038961039,0.10529644128532652,1.9610389610389611,0.09324696268376018,0.3900000000000004,0.0,0,0.0,650.8181818181819,37.930980811046965,0.025974025974025976,0.018245178147695336,646.7272727272727,37.69626986285718,124.23376623376623,21.893522983619548,20.064935064935064,12.920313340191397,,,4.103896103896104,0.18168386797560035,2,BPA,5
